model,bin,mae,n,mae_ci_lo,mae_ci_hi,mean_bias,mean_bias_ci_lo,mean_bias_ci_hi,mean_bias_ci_method,axis,prompt
Gemma-3-12B,60-80,16.289473684210527,38,12.394736842105264,20.473684210526315,-14.131578947368421,-19.05263157894737,-9.5,BCa,combo,Grid-Overlay
Gemma-3-12B,80-100,30.466666666666665,30,25.533333333333335,35.56666666666667,-30.466666666666665,-35.833333333333336,-25.766666666666666,BCa,combo,Grid-Overlay
Mistral-Small-3.2,0-20,5.234351554126474,933,4.8792988673463995,5.615228244416184,4.413665594855305,4.011773336405312,4.845479971976122,BCa,combo,Short
Mistral-Small-3.2,20-40,7.546296296296297,108,6.472222222222222,8.88888888888889,-3.6574074074074074,-5.333333333333333,-1.8981481481481481,BCa,combo,Short
Mistral-Small-3.2,40-60,16.304347826086957,46,13.695652173913043,18.891304347826086,-13.565217391304348,-17.043478260869566,-9.565217391304348,BCa,combo,Short
Mistral-Small-3.2,60-80,24.710526315789473,38,19.257151232125437,30.13157894736842,-23.07894736842105,-28.973684210526315,-17.157894736842106,BCa,combo,Short
Mistral-Small-3.2,80-100,25.833333333333332,30,21.566666666666666,31.0,-25.833333333333332,-30.933333333333334,-21.433333333333334,BCa,combo,Short
Mistral-Small-3.2,0-20,7.848821007502679,933,7.453826556470186,8.273022482316009,7.169292604501607,6.719758567778397,7.636187433874601,BCa,combo,Detailed
Mistral-Small-3.2,20-40,6.935185185185185,108,6.037037037037037,7.944444444444445,-2.7314814814814814,-4.273595940488028,-1.1944444444444444,BCa,combo,Detailed
Mistral-Small-3.2,40-60,16.32608695652174,46,13.847826086956522,18.695652173913043,-14.108695652173912,-17.130434782608695,-10.496166223699655,BCa,combo,Detailed
Mistral-Small-3.2,60-80,26.026315789473685,38,20.68421052631579,31.07894736842105,-25.44736842105263,-30.713445102483355,-19.68421052631579,BCa,combo,Detailed
Mistral-Small-3.2,80-100,35.666666666666664,30,30.8,40.833333333333336,-35.666666666666664,-40.7,-30.633333333333333,BCa,combo,Detailed
Gemma-3-12B,0-20,7.539067524115755,933,7.120734542356677,7.985067560015158,7.057824222936763,6.605287205739605,7.538090693693875,BCa,combo,Detailed
Gemma-3-12B,20-40,9.925925925925926,108,8.61111111111111,11.574074074074074,-3.6666666666666665,-5.833333333333333,-1.2741133078757567,BCa,combo,Detailed
Gemma-3-12B,40-60,19.391304347826086,46,16.82608695652174,21.97826086956522,-13.782608695652174,-18.043478260869566,-8.391304347826088,BCa,combo,Detailed
Gemma-3-12B,60-80,26.289473684210527,38,21.689283248320496,31.394736842105264,-22.55263157894737,-28.710526315789473,-15.526315789473685,BCa,combo,Detailed
Gemma-3-12B,80-100,38.666666666666664,30,31.066666666666666,46.3,-38.0,-45.86666666666667,-29.839122192459218,BCa,combo,Detailed
Gemma-3-27B,0-20,9.029421221864952,933,8.66842584001638,9.423514056266729,8.733065380493032,8.334381552527633,9.156144270285242,BCa,combo,Detailed
Gemma-3-27B,20-40,9.018518518518519,108,7.851851851851852,10.36111111111111,-2.4074074074074074,-4.537037037037037,-0.3055555555555556,BCa,combo,Detailed
Gemma-3-27B,40-60,20.47826086956522,46,17.369565217391305,23.956521739130434,-16.17391304347826,-20.858858848316842,-11.067187847899612,BCa,combo,Detailed
Gemma-3-27B,60-80,25.05263157894737,38,19.210526315789473,31.44736842105263,-23.473684210526315,-30.18421052631579,-16.92105263157895,BCa,combo,Detailed
Gemma-3-27B,80-100,42.666666666666664,30,34.25682648418815,50.333333333333336,-42.666666666666664,-50.36666666666667,-34.12105629377541,BCa,combo,Detailed
Llama-4-Maverick,0-20,3.212486602357985,933,2.926353667375673,3.5271498740229017,-0.008949624866023605,-0.3714165104888182,0.3562248027293363,BCa,combo,Detailed
Llama-4-Maverick,20-40,16.87037037037037,108,14.717592592592593,19.189814814814813,-15.518518518518519,-18.01388888888889,-12.93236979551002,BCa,combo,Detailed
Llama-4-Maverick,40-60,32.391304347826086,46,26.804347826086957,38.15217391304348,-32.17391304347826,-38.06521739130435,-26.32608695652174,BCa,combo,Detailed
Llama-4-Maverick,60-80,38.05263157894737,38,31.473684210526315,45.15828555609024,-37.526315789473685,-44.973684210526315,-30.5,BCa,combo,Detailed
Llama-4-Maverick,80-100,59.666666666666664,30,48.86666666666667,69.46364424795836,-59.666666666666664,-69.46666666666667,-49.2,BCa,combo,Detailed
Llama-4-Scout,0-20,3.7618971061093247,933,3.4483053480294874,4.130314865291879,0.917416934619507,0.5234019912013073,1.3356760552046796,BCa,combo,Detailed
Llama-4-Scout,20-40,20.48148148148148,108,18.37962962962963,22.453703703703702,-18.09259259259259,-20.65740740740741,-15.185185185185185,BCa,combo,Detailed
Llama-4-Scout,40-60,35.06521739130435,46,29.456521739130434,40.08695652173913,-35.06521739130435,-40.17391304347826,-29.565217391304348,BCa,combo,Detailed
